Provider Name,State,City,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine,Georeferenced Column
Walgreen CO,IL,DEERFIELD,$0 ,$0 ,"$218,909 ",POINT (-87.84573500000002 42.167311)
NORMA IGLESIAS MD AND,TX,PHARR,$0 ,$0 ,"$13,212 ",POINT (-98.184175 26.193348)
Alliance Medical Goup,ID,EAGLE,"$6,763 ","$1,609 ","$5,650 ",POINT (-116.354075 43.69102)
MAYO CLINIC,MN,ROCHESTER,"$21,122 ","$60,654 ","$5,567 ",POINT (-92.458867 44.019331)
WARREN CLINIC INC,OK,TULSA,"$39,596 ","$489,144 ","$4,530 ",POINT (-95.992083 36.155327)
Topcare Medical Group,TX,DALLAS,$729 ,$706 ,"$2,877 ",POINT (-96.796215 32.777977)
COUNTY OF ONSLOW,NC,JACKSONVILLE,$0 ,$0 ,"$2,363 ",POINT (-77.422005 34.749428)
COCONINO COUNTY PUBLIC,AZ,FLAGSTAFF,$0 ,$0 ,"$2,313 ",POINT (-111.65132 35.198177)
Stephen F Austin,TX,ALVIN,"$389,642 ","$77,155 ","$2,162 ",POINT (-95.24407800000002 29.423833999999996)
Mariposa Community Hea,AZ,NOGALES,$0 ,"$9,359 ","$2,149 ",POINT (-110.934129 31.341931)
Harvest Drug and Gift,TX,WICHITA FALLS,$0 ,$0 ,"$1,969 ",POINT (-98.500854 33.90976)
Topcare Medical Group,TX,HOUSTON,$0 ,$0 ,"$1,881 ",POINT (-95.369506 29.760803)
Rural Clinics of South,TX,PORT ISABEL,$0 ,$0 ,"$1,785 ",POINT (-97.218538 26.071358)
Mayo Clinic Heatlth Sy,WI,ONALASKA,$472 ,$698 ,"$1,669 ",POINT (-91.234285 43.882705)
SAKRX LLC,NE,OMAHA,"$7,151 ",$0 ,"$1,531 ",POINT (-95.937195 41.258652)
TEXAS TECH UNIVERSITY,TX,EL PASO,$0 ,"$755,259 ","$1,515 ",POINT (-106.492257 31.76006)
COQUILLE INDIAN TRIBE,OR,COOS BAY,"$4,106 ",$257 ,"$1,494 ",POINT (-124.21896499999998 43.367925)
Heartland Travel Healt,OK,BROKEN ARROW,$22 ,$0 ,"$1,490 ",POINT (-95.790808 36.052449)
MAYO CLINIC JACKSONVIL,FL,JACKSONVILLE,"$37,870 ","$35,336 ","$1,483 ",POINT (-81.65676 30.325968)
Topcare Medical Group,TX,HOUSTON,$0 ,$0 ,"$1,382 ",POINT (-95.369506 29.760803)
