State,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine
IL,0 ,0 ,218909
TX,0 ,0 ,13212
ID,6763,1609,5650
MN,21122,60654,5567
OK,39596,489144,4530
TX,729 ,706 ,2877
NC,0 ,0 ,2363
AZ,0 ,0 ,2313
TX,389642,77155,2162
AZ,0 ,9359,2149
TX,0 ,0 ,1969
TX,0 ,0 ,1881
TX,0 ,0 ,1785
WI,472 ,698 ,1669
NE,7151,0 ,1531
TX,0 ,755259,1515
OR,4106,257 ,1494
OK,22 ,0 ,1490
FL,37870,35336,1483
TX,0 ,0 ,1382
OK,70500,578 ,1363
TX,262196,79204,1278
AL,22482,4817,1261
TX,1033,734 ,1217
TX,0 ,101907,1201
TX,22020,10156,1195
TX,0 ,1035,1195
GA,36159,709 ,1184
NM,253045,149105,1170
WA,1134,355 ,1144
AR,0 ,0 ,1114
NY,0 ,0 ,1075
TX,12405,0 ,1066
GA,0 ,0 ,1033
TX,816 ,0 ,1033
VT,24313,594 ,1018
TX,0 ,0 ,823 
TX,168 ,165 ,812 
AK,542 ,49 ,812 
KS,299673,2113,799 
TX,58949,10656,792 
TX,0 ,0 ,756 
KS,40804,14091,755 
ID,173748,54652,753 
FL,105942,18189,731 
CA,1303,483 ,695 
CA,507855,197020,665 
TN,10364,304 ,662 
TX,0 ,0 ,659 
NC,40515,300 ,650 
AL,784941,158367,649 
TX,246628,25879,642 
KS,54568,4301,641 
NC,24740,2592,634 
IL,1298105,35612,628 
TX,1013,116 ,611 
FL,7968,170 ,597 
TX,1380,160 ,587 
TX,468 ,111 ,568 
OH,0 ,0 ,550 
TX,7960,771 ,549 
TX,0 ,168 ,541 
NC,23 ,0 ,537 
GA,0 ,0 ,531 
GA,71091,21797,529 
AK,4177,0 ,523 
CA,402751,51775,517 
TX,233 ,0 ,510 
TX,0 ,0 ,506 
CA,103 ,0 ,499 
AZ,174990,331164,496 
ME,46 ,3894,474 
IL,0 ,0 ,469 
TX,9728,419 ,467 
VT,6807,187 ,455 
NC,55170,0 ,439 
VT,4906,0 ,412 
GA,11642,72 ,409 
NC,81050,9804,409 
NC,0 ,0 ,405 
NC,263589,20201,390 
TX,314 ,154 ,384 
TX,31679,48335,381 
PA,482007,4732,369 
WI,46775,6975,366 
ME,563 ,215 ,365 
AR,0 ,0 ,361 
PA,74 ,75 ,360 
AR,0 ,0 ,337 
TX,0 ,0 ,333 
WA,11569,1486,329 
FL,2253,0 ,315 
NY,20635,0 ,306 
KY,112 ,0 ,295 
ME,13745,522 ,286 
TX,0 ,0 ,277 
TX,347 ,180 ,272 
SC,40298,8280,271 
KS,96 ,225836,265 
TX,0 ,0 ,264 
TX,550310,186012,261 
NJ,680431,15776,254 
TX,46 ,338589,250 
FL,979 ,0 ,232 
TX,95734,5349,228 
MN,89004,27125,226 
TX,41253,6099,226 
TX,175543,56120,217 
MO,56547,376267,216 
OK,81924,23498,206 
MO,0 ,0 ,205 
KS,910 ,526 ,201 
AZ,63396,12430,198 
AZ,0 ,0 ,198 
